ANMs = {ANM100, ANM107, ANM139, ANM145, ANM168, ANM179, ANM205, ANM208, ANM238, ANM24};
Pocos = {P101, P23, P240, P149, P349, P229, P300, P374, P373, P279};
Portos = {VITORIA, RIO, SANTOS, SALVADOR};

DataDisponibilidadeANMS = [161, 0, 147, 212, 161, 255, 128, 186, 263, 218];
DataNecessidadePocos = [6, 103, 113, 136, 141, 134, 140, 154, 157, 169];

BIN_PodeAlocar = [[1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
                 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
                 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
                 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
                 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
                 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
                 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
                 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
                 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
                 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]];
                 
Origem = [SALVADOR, RIO, VITORIA, SANTOS, SALVADOR, SALVADOR, SANTOS, VITORIA, VITORIA, SALVADOR];
              
DistanciaDosPortos = [[548, 241, 463, 1360],
					 [592, 294, 490, 1407],
					 [466, 211, 492, 1279],
					 [540, 137, 347, 1332],
					 [167, 301, 644, 980],
					 [621, 307, 481, 1435],
					 [646, 257, 368, 1447],
					 [595, 216, 378, 1397],
					 [619, 297, 467, 1432],
					 [550, 235, 455, 1362]];
					 
rf = [[0, 0, 0, 0, 0, 0, 0, 0, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
     [0, 0, 0, 0, 0, 0, 0, 1, 1, 1],
     [0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
     [0, 0, 0, 0, 0, 0, 0, 0, 0, 1],
     [0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
     [0, 0, 0, 1, 1, 1, 1, 1, 1, 1],
     [0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
     [0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
     [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]];
